Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
No. 78,歸,gui,1,456.8,244,252.8,256,258.4,260.8,257.8,262.7,260.8,257.8,257.1,255.2,253.6,252.8,247.8,247,245,242.4,240.2,237.3,236.2,233.9,228.2,226.7,226.6,222.5,216.7,213.1,213.6,212.3,206.3
No. 78,(歸),gui,2,332,230.4,235.4,241.1,244.7,249.3,254.4,258.5,261.5,265.7,270.9,271.9,274.7,276.9,276.1,273.7,271.9,272.4,275.4,275.1,272.7,271.7,273.9,277.8,278,277.4,276.7,275.1,271.4,268,264.8
No. 78,(歸),gui,3,449.8,128.8,127.2,126.6,129,129.2,127.9,128.3,129.7,131.8,132.5,134.7,139.6,145.6,148.9,153.3,159.8,165.6,169.8,173,182.1,189,192.4,193.3,194.4,198.8,202.2,202.3,199.3,202.5,203.3
No. 78,(歸),gui,4,179,257.5,258.7,261.1,262.5,263,261,258.5,255,252.9,251.1,244.2,238.2,233.4,226.4,219,211.7,204.4,197.1,187.4,177.5,167.7,157.9,148.1,138.3,128.4,118.6,113.5,109.4,105.4,101.5
No. 78,(去),qu,1,452.1,243.6,250.4,255,254.8,256,260.3,262.8,259.5,256.7,257.6,258.5,255.1,255,254.4,253.1,253,249,248.5,248.5,247.8,246.1,242.5,238.9,237.7,236.4,231.8,225.4,220.9,219.2,213.4
No. 78,(去),qu,2,303.8,229.1,232.8,238.3,245.6,250,251.3,253.4,259.6,266.9,270.8,273.1,274.3,276.3,279.9,294.8,329.6,335.7,338.7,337.7,332,323,314,304.6,294.7,285.7,276.7,267.9,260.5,253.9,250.9
No. 78,(去),qu,3,487.5,107.9,104.4,99.8,96.6,97.5,94.9,94.8,95.8,100.1,104.5,108.9,113.2,117,123.8,132.4,141.1,150.9,165.7,180.5,195.3,210.1,223.3,232,235.4,246.9,265.1,267,256,242,234.4
No. 78,去,qu,4,195.5,269.7,270.3,271.3,271.1,270.2,268.4,266.6,264.9,263.4,261.9,260,257.1,252.6,245.9,235,225.5,216.1,206.8,197.5,188.2,178.9,169.6,160.3,151,139.3,129.6,122.9,123,121.1,116.5
No. 78,(來),lai,1,536.9,217.4,228.4,238.9,248.1,254.2,258.3,261.4,261.7,262.9,260.3,259.2,259.2,255.9,252.6,250.4,252.4,248.9,244.4,245,243.5,235.6,231.2,232.7,227.3,222.2,220.5,217.9,212.1,203.2,197
No. 78,來,lai,2,584,166.8,170.3,175.1,184,195.7,209.6,220.7,231.4,247.3,253,257.6,261,264.9,269.4,269.6,273.5,270.6,263.8,260.2,257.4,259.1,263.1,271.7,263.7,262.7,260.5,257.5,254.6,252.3,252.2
No. 78,(來),lai,3,671.1,101.1,94.1,94.7,92.3,88.5,88.4,89.5,89.3,90.3,91.8,94.8,98.3,100.9,103.7,108.4,114.3,121.3,133.3,141.4,150.3,163.3,172.3,184,199.7,204.9,206,206.9,201.5,201.3,204.5
No. 78,(來),lai,4,268.5,225.6,227.5,233,239.6,245.2,248.4,248,245.6,243.4,242.6,242.2,241.3,241.5,236.4,228.1,219.7,211.4,203.1,194.8,186.5,178.1,169.8,161.5,153.2,144.8,136.5,128.2,121.3,115.4,109.4
No. 78,兮,xi,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. 78,(兮),xi,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. 78,(兮),xi,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. 78,(兮),xi,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. 78,(田),tian,1,473.3,266.9,268.3,272.2,277.9,283.1,284.9,284.5,287.7,288,280.7,275.5,274.9,274.3,270.2,269.3,271.6,271.4,267.2,263.8,261.2,258.5,259.7,256.5,251.9,247.2,242.6,238,233.4,228.7,224.1
No. 78,田,tian,2,393.3,219.6,226,232.3,235.2,239.4,242.6,244.8,250.3,254.8,259.7,263.6,268.8,271.8,273.4,275.2,275.4,276.9,280.7,281.9,279,277.3,284,282.5,278.8,271.8,269.1,271.9,268.8,272.4,274.7
No. 78,(田),tian,3,383.8,115,115.7,117.3,117.6,118,120.8,123,124.2,124.7,126.1,129.7,134.2,137.6,142.1,146.5,149.6,154.5,160.5,162.3,165,171.2,180.3,193.5,198,206.7,212.1,218.7,223.6,225.1,227.7
No. 78,(田),tian,4,289.6,232.2,233.7,239.3,244.4,247.7,250.9,252.5,248.8,243.8,236.9,231.5,229.2,226.6,220.3,211.1,203.5,195.4,184.5,173.6,162.6,151.7,140.8,129.8,118.9,109.4,104.6,100.7,98.5,96.5,93.9
No. 78,(園),yuan,1,506.3,240.5,241.7,245.2,251.7,258.6,259.2,261.3,266,270.7,270.4,270.7,271,268.1,264.4,263,262.1,261.2,257.6,255.8,253.2,251.2,250.5,249.4,245.8,242,238.2,234.4,230.6,226.8,223.1
No. 78,園,yuan,2,452.1,215.8,217.8,222.2,223.4,226.6,232.7,237.4,242.4,249.3,256.6,262.2,262.6,263.7,270.3,273.4,272.8,274.4,276.8,279.4,276.7,273.2,278,279.1,276.7,275.4,268.1,260,251.9,243.8,235.8
No. 78,(園),yuan,3,383.8,114.5,111.3,109.7,108.8,107.5,105.7,105.2,104.9,104.1,104.1,105.1,106.8,108.3,110.8,112.2,113.7,119.5,126.4,129.5,132.8,137.1,142,149.9,153.6,158.2,162.3,167.4,175.9,183.5,185.7
No. 78,(園),yuan,4,221.4,233.6,239.2,243,244.1,244.3,243.3,239.9,234.6,228.3,223,218.3,211.9,202.2,192.5,186.1,178.8,169.5,166.2,161.1,155.7,150.3,144.8,139.4,131.4,123.4,120,116.7,113.4,110,106.8
No. 78,將,jiang,1,553.4,265.9,269.6,273.4,278,284.6,282.6,279.3,275.8,267.8,269.9,269.7,268.9,267.4,262.8,259.9,260.1,255.3,250.5,250.1,247.4,243.1,243.1,244.1,234.9,232.3,231.6,228,224.6,223.2,220.3
No. 78,(將),jiang,2,393.3,234.3,235.2,235.4,236.1,241.6,246.5,249.6,253.9,258,260.8,267.1,271.2,273.2,276.2,281,286,288.4,289.4,290.5,293.2,296.6,296.3,291,287.6,280.9,277.1,276.5,276.7,275.4,271.7
No. 78,(將),jiang,3,419.2,111.5,109,109.7,109.2,109.2,110.4,111.5,111.9,112.6,116,122,124.6,126.9,131.4,138.7,144.9,149.1,157,163.8,170.1,176.3,180.5,189.5,197.5,212.3,220.7,225.2,230.2,234.1,237.4
No. 78,(將),jiang,4,179,247.9,246.1,244.3,242.6,239.9,236.4,231.5,226.3,220.6,212.3,203.9,195.5,188.3,181.2,174.1,167,159.8,152.7,145.9,139.5,133.1,126.7,120.4,115.5,111.9,108.2,104.6,101,97.4,94
No. 78,(蕪),wu,1,485.1,255.8,264.6,272.7,282.3,286.2,288.3,295,300.4,297.9,297.2,299.2,302.6,299.2,296,296.9,295.5,292.9,290.6,287.2,286.3,283.8,281.6,277.4,273.9,267.5,258.6,248.4,241.2,237.9,238.2
No. 78,蕪,wu,2,452.1,207.4,205.9,207.2,225.6,242.3,254.8,269.6,279,284.6,290.2,294.6,299.4,298.9,299,301.8,302.9,301.8,298.6,298.5,297.7,295.9,294.9,296.3,296.2,291.8,285.1,281.7,278.8,269.9,264.1
No. 78,(蕪),wu,3,558.1,126.7,124.5,125.4,126.8,130.2,129.1,130.7,132.1,133,135.3,138,140.2,143,150.6,160.2,163.3,169.4,181.3,196.4,206.4,218,228.2,236.4,241.1,246.2,249.1,248.6,243.3,241.1,235.6
No. 78,(蕪),wu,4,223.7,329.9,332.4,334.4,331.7,328.6,324.6,318.5,296.5,274.6,259.5,253.6,245,237.9,231.6,222.1,201.4,186.3,175.4,167.6,161,148.5,135.1,125.7,121.2,115.4,109.5,103.7,98.4,94.7,90.9
