Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
Lesson 1,書,shu,1,202,211.4,209.5,209.6,211,213,215.1,216.5,217.8,219,219.8,220.1,220.4,220.8,221.2,221.6,221.7,221.7,221.7,221.7,221.7,221.6,221.6,221.5,221.4,221.2,220.8,220,218.7,217,216.2
Lesson 1,熟,shu,2,199.6,161.4,161.3,161.4,163.2,165.2,167.8,170.6,174.1,177.9,182,185.8,189.4,193.6,197.9,203.9,209.7,214.7,219.9,225.5,229.6,232.2,234.9,237.6,238.6,239.4,238.5,237.5,236.2,234.9,233.7
Lesson 1,屬,shu,3,285.8,103.8,103,102.9,101.6,100.1,98.5,97.2,96.3,95.8,95.4,95.3,95.6,96,96.8,98.5,101,103.9,106.6,109.7,113.1,116.6,119.8,123.8,130.5,137.1,142.7,147.3,149.3,149.7,150
Lesson 1,樹,shu,4,192.2,210.9,211,210.5,209.7,208.8,207.1,205.2,202.7,199.9,195.4,190.7,185,178.5,166,154.3,145.6,137.7,131,123.7,115.7,110.3,106.7,104.4,102.5,100.8,99.2,96.4,93.5,91.6,90.1
Lesson 1,逼,bi,1,219.3,190.8,191.6,192.3,194.2,196.7,197.7,198.7,200.1,201.8,203.5,204.9,206.5,208.3,210,211.5,212.5,213.2,213.5,213.1,212.3,211.2,209.8,208.2,206.2,204.3,202.8,201.4,200.1,199,198.1
Lesson 1,鼻,bi,2,290.7,142.8,136.7,135.3,135.1,135.5,137.1,139.3,140.8,142.7,145.4,149.1,153.3,160.8,167.2,173,180.6,188.1,192.7,197.1,202.1,207.5,210.4,211.4,211.6,211.6,211.7,209.9,208.2,208.1,208.1
Lesson 1,筆,bi,3,322.7,117.2,115.4,112.1,108.2,105.7,102.7,100.6,99.2,97,94,92.4,92.7,93.3,93.5,95.2,96.4,96.9,97.1,97.7,99.1,101.7,105.6,108.7,113.4,118.3,122.8,126.1,128,129.2,130
Lesson 1,敝,bi,4,239,177,180.9,185,187,191.9,197.1,199.7,200.4,199.3,193.3,183.8,172.6,162.6,153,143.2,130.9,120.5,111.8,107.6,104,100.8,96.9,92.8,88.5,88.3,88,87.7,87.5,87.1,86.6
Lesson 1,蒿,hao,1,241.4,203,203.6,203.4,204.2,204.3,203.3,201.3,199.6,198.4,198.3,198.7,199.5,201.1,202.5,203.7,204.3,204.9,205.5,206.2,206.7,206.8,206.4,205.7,204.6,203.2,202,201.2,200.8,200.3,199.7
Lesson 1,豪,hao,2,229.1,128.9,128.5,128.2,129.2,130.7,133.1,135.5,138.2,142,145.4,148.5,151.7,157.4,165.4,168.8,172.5,176.9,183.1,189.8,196.8,203.1,208.9,212.9,216,217.8,219.1,220.2,221,220.4,219.1
Lesson 1,好,hao,3,298.1,97.1,95.8,95.8,93.7,92.1,91.3,90.7,89.8,88.8,88,87.5,87.2,87.1,87.2,87.5,87.3,88.8,92,95.2,98.5,101.7,104.9,108.1,111.3,114.6,117.8,121,122.7,122.7,122
Lesson 1,號,hao,4,216.8,195.3,195.3,194.7,194.5,193.7,191.6,188.6,185,182.1,179,175.6,171.3,166.4,159,151.4,143.8,136.1,128.5,120.9,113.2,105.6,100.7,98,95.2,92.5,89.7,87.8,86.6,86.9,87.4
Lesson 1,噎,ye,1,261.2,174.9,181.2,186.4,190.1,193,196.2,199.8,203.9,206.5,207.9,208.2,207.7,206.7,205.9,205.6,206.4,207,207.3,206.9,207,207.8,209.2,210.4,210.1,209,207.2,206.6,206.2,206,206.3
