Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
,陰,yin,1,334.4,187.7,188.4,189.1,195.4,199.3,203.1,207.1,209.4,209.9,209.9,211.1,211.7,211.3,209.9,208.3,208,208.7,208.3,208.5,209.3,210.7,214.5,218.1,218.1,217.3,214.9,211.6,207.2,202,197.8
,陽,yang,2,343.8,142.5,142.3,144.6,156.8,157.7,149.9,151.2,152.4,153.4,155.7,159.5,163.4,167.2,170.8,174.2,177.5,181,184.7,189.4,194.8,200.7,205.3,210.6,216.7,222.1,226,227,226.7,227.2,229
,上,shang,3,393.3,142.5,127.7,119.3,111.4,104.6,100.7,98.2,96.3,93.8,89.3,86.5,84.6,84,83.4,84.4,85.7,87.2,87.8,88.1,89,91.5,96.9,103.9,110.5,115.4,123.6,138.7,146.6,154.5,154.6
,去,qu,4,237.8,230.2,230.3,230.3,230.4,230,228.5,226.3,223.6,220.8,217.8,212,206.4,201.9,194.6,183.2,178.3,164.5,155.9,148.9,140.3,129.3,123.6,118.1,112.6,107.2,102.1,97.9,93.4,89.9,86.7
,癡,chi,1,252,225.7,226.2,225.4,225,224.7,225,225.5,225.8,225.7,225.6,225.7,225.8,226,226.2,226.4,226.7,226.7,225.8,223.9,222,220.2,219,218,217.2,216.2,214.2,211.1,210.4,210,208.2
,池,chi,2,280.2,182.3,182,182.1,182.8,184.4,187.2,190.9,195.3,199.3,203.5,207.5,211.8,215.7,220,223.6,226.4,229.1,232.1,235.4,237.3,238.6,240.1,241.4,241.9,242.9,244,243.5,241.9,240.4,238.5
,尺,chi,3,282.6,123.9,119.4,114.5,110.9,108.3,106.7,105.8,104.7,104.2,104.8,105.4,105.9,106.4,107.3,108.9,110.8,113.5,116.3,119.9,122.2,124.5,127.6,132,135,140,144.4,147.2,148.4,149.1,151.6
,翅,chi,4,176.6,244.9,242.9,241.2,240,238.3,236.3,232.9,228.6,223.2,218.3,213.3,208,200.1,190.2,177.1,165.5,158.4,152.4,147.2,140.4,131.9,120.2,113.3,108.3,104,99.9,96.2,92.8,89.7,87.7
,師,shi,1,270.8,211.8,213.3,213.6,216.8,220.6,222,223.1,224,224.3,223.5,222.3,221.4,220.9,220.7,220.6,220.5,220.2,219.8,219.4,219.5,219.5,219.4,219.4,219,218,216.4,214.7,212.4,209.5,207.6
,時,shi,2,252,169.9,170.4,171.9,174.8,179.5,185.4,190.7,194.3,199.7,207,212.8,216.8,220.6,224.8,227.8,230.3,233.4,236.4,239.1,241.3,242.8,243.8,244.5,245.5,246.8,247.6,248.2,248.8,247.5,241.5
