Item,Character,Pinyin,Tone,Duration,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
Speaker 39,卡,qia,3,405,131.7,122,115.8,111.6,107.4,103.8,99,93.3,90.8,94,98.9,98.4,91.4,92.2,86.2,85.3,88.7,88.9,89.3,89.7,90,92.4,95.6,96.8,97.2,98.3,100.5,102.4,103.5,101.9
Speaker 39,枝,zhi,1,277.9,179.7,174.5,170.4,167.4,167.5,167.5,167,166,165,164.2,163.6,163.1,162.4,161.6,160.6,159.7,159.1,158.8,158.7,158.7,158.8,159.4,160.2,161.2,163,165.1,167.7,170.4,173.2,173.6
Speaker 39,拿,na,2,428.6,115.1,113.3,117.2,117.6,117.9,118.4,119.2,115.7,113.2,110.9,110.7,111.7,113.1,114.8,116.3,118.1,120.6,123.7,127,130.7,134.7,138.6,142.3,144.8,145.9,146.1,146,147.1,153.9,159.2
Speaker 39,卖,mai,4,315.5,166.3,163.4,163.7,165.2,167.4,170,172.9,174.9,174.5,173.6,172.3,170.3,167.5,164.3,160.3,155.2,148.5,142.1,135.3,126.2,120.3,114.7,109.3,107.1,105.3,103.5,101.6,100,98.7,99.1
Speaker 39,改,gai,3,376.8,115.5,115.1,112.4,104.1,99,90,86.1,82.3,77,71.5,64.1,52.7,51.5,53.1,53.7,57.7,68.9,84.1,90.2,94.4,96.6,98.5,100.8,102.9,104.4,105.2,105.5,104.5,103.1,100
Speaker 39,姐,jie,3C,376.8,111.3,111.3,108.5,105.3,101.7,98.1,94.4,90,84.9,82.6,74.7,66.5,58.4,70.5,92.5,93.2,95.2,96.4,97.7,99,100.2,101.9,104.1,105.5,105.2,105.6,106.6,108.5,112,115.4
Speaker 39,真,zhen,1,339.1,168.7,169.3,170.6,171.9,171.8,171.4,170.9,170,169.3,169.1,169.1,169.2,168.4,167.3,166,164.9,165.5,165.9,166.1,166,165.7,165.9,166.2,167.3,169.3,171.5,171.8,170.5,168.6,167.7
Speaker 39,买,mai,3,485.1,113.9,110.3,108.6,107.2,103.9,97.2,93,89.6,83.1,81.9,76.3,68.7,61.8,58,59,66.3,80.6,91.2,93.8,89.5,91.1,93.2,95.6,97.2,98.9,100.5,101.1,103.6,110.2,117.3
Speaker 39,趴,pa,1,310.8,166.1,166.4,168.6,171,169,166.2,163.8,162.1,161.2,160.1,159.2,159,159.3,159.8,160.7,161,161.2,161.2,161,160.6,160.2,159.7,158.9,158.1,157.3,156.3,155.9,156,156.7,155
Speaker 39,惰,duo,4,273.2,178.9,182.7,182.3,180.4,176.5,172.6,168.3,162.8,156.7,150.3,144.7,139.5,134.9,129.8,125,121,117.7,114.3,107.9,103.5,101.2,96.9,93.4,91.8,90.8,89.3,84.3,81.5,80.5,81.1
Speaker 39,麻,ma,2,386.2,112.2,113.6,116.2,116,111.1,108.8,107.6,107,107.4,108.4,110.1,112.4,114.8,117.3,119.5,121.6,124.1,126.9,129.6,132.2,134.4,136,137.6,139.9,145,148.9,151.8,152.8,151.7,150.4
Speaker 39,烘,hong,1,306.1,183.5,183.6,183.8,184,183.7,182.7,180.9,179.3,178,176.8,176.1,175.8,175.9,176.4,176.7,177.1,177.5,178,178.5,178.9,179.7,180.7,181.8,183.4,183.5,182,178.1,174.2,171.3,170.9
Speaker 39,卡,ka,3,306.1,129,128.6,120.1,110.6,101.4,91.4,80.9,72.5,75.4,78.9,80.5,77.8,77.8,81.5,88.1,88.6,91.2,94.5,96.3,97.3,98.2,99.1,99.6,99.7,99.3,99,99.6,101,103.5,107.2
Speaker 39,豆,dou,4,169.5,170.9,170.9,170,169.1,167.6,165.7,163.8,160.5,157.2,153.6,149.8,146,142.1,138.2,134.7,131.9,129.2,127.2,125.4,123.7,121.9,120.2,118.5,116.7,114.8,113.1,111.3,109.6,108.2,106.8
Speaker 39,高,gao,1,334.4,164.9,164.9,163.5,163,164,166.1,168.2,169.7,170.3,170.2,169.5,168.6,167.9,167.4,167,166.8,166.9,167.1,167.1,167.2,167.6,168.6,170.1,172.6,174,174.9,175.7,176,173.7,172.3
Speaker 39,阔,kuo,4,197.8,208.1,208.1,208.1,206.4,203,199.1,194,188.8,181.9,175,168,161,156,151.8,147.5,143.1,138.5,133.5,128.6,125.3,121.9,119.5,117.4,113.9,109.8,106.3,103.5,101.7,102.5,103.4
Speaker 39,训,xun,4,244.9,198.5,199.5,200.6,200.3,199.7,197.7,195.3,192.1,187.6,181.8,175.5,169.1,160.3,151.6,143.7,136.7,131.2,125.7,120.2,115.8,111.6,109,106.4,103.9,101.9,100.6,100.2,100.1,98.6,97.4
Speaker 39,摩,mo,2,409.7,116.2,114.6,116.7,117.1,119.3,117.1,115.7,115.5,115.4,115.2,115,115,115.2,116,117.1,118.4,120.6,123.2,125.9,129,134.4,140.5,146.3,150.8,154.8,158.8,163.2,165.7,164,159.3
